iter	RMSE
0	77974.12802
1	77295.8244
2	76724.29185
3	76235.44394
4	75839.52637
5	75496.68271
6	75207.26893
7	74968.94699
8	74781.98308
9	74617.44365
10	74483.31522
11	74352.15067
12	74244.13914
13	74150.24388
14	74071.21928
15	74004.59447
16	73949.44839
17	73898.63572
18	73853.11457
19	73805.37216
20	73765.97367
21	73731.67825
22	73699.98732
23	73655.96708
24	73625.6906
25	73598.93251
26	73578.52506
27	73555.99089
28	73531.74234
29	73513.88716
30	73497.07569
31	73482.12919
32	73466.18968
33	73452.92836
34	73426.54032
35	73414.76211
36	73401.4382
37	73389.30713
38	73371.71944
39	73332.615
40	73320.79744
41	73296.29443
42	73277.04992
43	73263.9584
44	73244.14085
45	73236.39976
46	73227.37656
47	73206.27923
48	73195.21771
49	73186.07609
50	73166.62805
51	73160.70835
52	73151.29977
53	73141.34585
54	73134.64331
55	73128.71459
56	73112.15007
57	73095.77531
58	73083.42864
59	73078.46499
60	73071.87105
61	73060.51351
62	73036.28769
63	73017.13336
64	73013.72676
65	73002.68577
66	72996.94765
67	72978.91325
68	72961.6075
69	72957.77486
70	72946.78415
71	72930.99099
72	72923.75001
73	72901.27024
74	72897.08242
75	72889.10565
76	72884.06728
77	72872.52164
78	72860.76068
79	72843.02532
80	72838.08745
81	72832.76527
82	72829.27218
83	72817.93999
84	72811.12183
85	72803.01906
86	72799.40051
87	72785.63674
88	72780.89303
89	72763.58673
90	72752.21119
91	72748.70273
92	72743.68711
93	72733.02463
94	72727.61705
95	72716.19106
96	72709.07716
97	72701.25982
98	72696.08318
99	72693.74097
