iter	Passed	Remaining
0	4	461
1	9	482
2	15	492
3	19	468
4	24	456
5	28	446
6	33	443
7	37	431
8	42	427
9	46	416
10	51	412
11	55	409
12	59	399
13	65	399
14	70	397
15	74	391
16	78	384
17	83	379
18	87	373
19	91	365
20	96	361
21	100	355
22	104	351
23	109	346
24	113	341
25	118	338
26	123	332
27	126	325
28	131	321
29	137	320
30	142	316
31	147	312
32	152	310
33	158	306
34	163	302
35	167	298
36	173	295
37	177	290
38	181	283
39	190	285
40	203	292
41	216	298
42	223	296
43	228	291
44	234	286
45	240	282
46	245	276
47	250	271
48	258	269
49	262	262
50	268	258
51	273	252
52	277	246
53	281	239
54	286	234
55	290	228
56	294	222
57	298	215
58	302	210
59	307	204
60	311	199
61	315	193
62	320	188
63	323	182
64	328	176
65	332	171
66	336	165
67	341	160
68	345	155
69	349	149
70	353	144
71	357	139
72	361	133
73	365	128
74	370	123
75	374	118
76	377	112
77	383	108
78	387	103
79	392	98
80	396	93
81	401	88
82	405	83
83	410	78
84	415	73
85	418	68
86	423	63
87	427	58
88	431	53
89	435	48
90	439	43
91	443	38
92	447	33
93	452	28
94	456	24
95	461	19
96	465	14
97	469	9
98	472	4
99	477	0
